Date,SPY,Startar,Svelland,Geosol,LCAO,Aravali AFO,India Strategy,Brahman Kova,AAAP MAC,Lim Advisors,Wizard Neutral,Wizard Global,Caxton,RV,Schonfeld,ADAPT
Jan-19,8.00%,0.69%,-8.92%,-1.80%,7.50%,0.50%,0.17%,3.47%,0.31%,0.62%,0.41%,2.05%,0.25%,5.20%,2.49%,-0.89%
Feb-19,3.26%,4.82%,0.80%,11.20%,3.30%,-0.09%,0.97%,-1.99%,0.39%,-0.35%,2.07%,1.12%,1.37%,3.20%,0.05%,0.73%
Mar-19,1.80%,-0.63%,-2.87%,-7.90%,3.00%,-0.29%,2.43%,0.58%,0.98%,-0.26%,4.10%,1.20%,-0.29%,3.70%,0.43%,2.74%
Apr-19,4.09%,3.34%,10.60%,-9.20%,4.40%,0.72%,1.28%,0.62%,0.43%,1.81%,3.78%,3.18%,-1.17%,1.10%,0.96%,0.57%
May-19,-6.39%,2.93%,-16.50%,1.00%,-1.60%,0.02%,1.41%,3.07%,0.57%,0.31%,0.95%,1.75%,0.44%,-4.10%,1.98%,6.87%
Jun-19,6.96%,1.96%,13.26%,0.70%,1.30%,0.86%,0.99%,1.33%,3.86%,1.68%,1.30%,3.06%,7.89%,3.10%,1.88%,0.19%
Jul-19,1.51%,1.34%,3.91%,12.20%,1.00%,0.00%,0.38%,1.20%,0.45%,1.01%,1.16%,2.42%,1.71%,2.30%,0.61%,2.27%
Aug-19,-1.67%,5.48%,-1.74%,46.30%,5.70%,0.78%,1.12%,3.50%,1.69%,0.46%,1.04%,1.89%,5.57%,-1.20%,-1.54%,5.05%
Sep-19,1.94%,3.49%,-0.87%,9.20%,-3.10%,0.00%,1.78%,2.72%,-1.62%,0.71%,1.15%,2.13%,-3.62%,0.00%,-0.25%,1.00%
Oct-19,2.21%,-2.88%,25.00%,0.10%,0.00%,0.25%,1.67%,-0.04%,1.81%,0.19%,0.31%,1.64%,4.23%,1.00%,0.90%,1.63%
Nov-19,3.62%,5.77%,-3.31%,3.70%,3.80%,1.26%,1.32%,0.23%,0.65%,2.08%,-2.29%,3.44%,-1.30%,0.20%,0.82%,0.74%
Dec-19,2.91%,3.13%,10.55%,-3.20%,0.60%,0.62%,1.23%,1.46%,1.97%,6.17%,-1.10%,7.35%,2.47%,1.50%,-0.29%,1.33%
Jan-20,-0.04%,2.05%,-13.74%,7.30%,-0.20%,0.94%,1.45%,2.14%,0.86%,0.04%,-0.22%,1.49%,1.65%,-0.20%,-0.11%,3.75%
Feb-20,-7.91%,0.10%,2.98%,-2.40%,1.40%,-0.07%,0.68%,1.40%,2.36%,-3.35%,0.35%,-1.75%,3.74%,5.00%,-0.14%,7.93%
Mar-20,-12.49%,9.99%,24.83%,0.80%,-6.00%,0.98%,-2.13%,0.89%,5.64%,-3.73%,0.15%,-2.11%,0.55%,-12.70%,0.20%,28.06%
Apr-20,12.70%,13.50%,-9.38%,-2.90%,7.10%,1.46%,3.22%,2.05%,5.07%,0.44%,1.60%,1.87%,9.71%,6.90%,5.67%,2.41%
May-20,4.76%,-2.84%,-3.10%,-10.30%,5.20%,0.53%,0.22%,2.30%,1.31%,2.41%,0.07%,3.76%,3.03%,5.40%,2.48%,-0.91%
Jun-20,1.78%,2.88%,4.01%,-7.40%,3.70%,0.01%,2.11%,-0.32%,2.36%,-3.83%,1.26%,-2.21%,4.28%,3.50%,2.97%,7.28%
Jul-20,5.89%,2.57%,1.61%,-3.40%,6.70%,0.26%,2.27%,-0.88%,3.02%,-0.15%,2.47%,1.31%,8.51%,7.10%,0.44%,4.20%
Aug-20,6.98%,1.27%,-1.80%,3.80%,5.20%,0.84%,1.46%,1.48%,6.17%,-0.67%,3.61%,0.81%,8.28%,0.30%,0.83%,-0.45%
Sep-20,-3.74%,13.20%,7.81%,-2.90%,2.60%,1.31%,0.77%,3.33%,-2.83%,2.61%,-0.16%,3.95%,-5.33%,-2.90%,0.19%,1.34%
Oct-20,-2.49%,1.87%,3.40%,6.30%,5.10%,0.38%,1.41%,0.53%,1.11%,2.46%,3.09%,3.81%,1.64%,0.50%,-1.11%,1.16%
Nov-20,10.87%,-0.99%,7.12%,-17.10%,0.90%,2.01%,2.63%,0.71%,3.34%,1.14%,-0.98%,2.54%,4.53%,3.30%,2.77%,7.29%
Dec-20,3.71%,4.55%,7.76%,-1.40%,8.10%,0.09%,2.09%,1.36%,5.04%,-1.47%,1.09%,0.05%,9.21%,4.20%,3.15%,24.85%
Jan-21,-1.02%,-11.20%,2.50%,-4.40%,6.60%,0.97%,0.59%,-0.56%,1.52%,-0.42%,-0.53%,-2.65%,-0.33%,0.90%,-1.51%,-1.64%
