Date,SPY,Startar,Svelland,Geosol,LCAO,Aravali AFO,India Strategy,Brahman Kova,AAAP MAC,Lim Advisors,,,
Jan-19,8.00%,0.69%,-8.92%,-1.80%,7.50%,1.49%,0.17%,3.47%,0.31%,0.62%,,,
Feb-19,3.26%,4.82%,0.80%,11.20%,3.30%,1.36%,0.97%,-1.99%,0.39%,-0.35%,,,
Mar-19,1.80%,-0.63%,-2.87%,-7.90%,3.00%,1.47%,2.43%,0.58%,0.98%,-0.26%,,,
Apr-19,4.09%,3.34%,10.60%,-9.20%,4.40%,1.05%,1.28%,0.62%,0.43%,1.81%,,,
May-19,-6.39%,2.93%,-16.50%,1.00%,-1.60%,2.02%,1.41%,3.07%,0.57%,0.31%,,,
Jun-19,6.96%,1.96%,13.26%,0.70%,1.30%,1.44%,0.99%,1.33%,3.86%,1.68%,,,
Jul-19,1.51%,1.34%,3.91%,12.20%,1.00%,0.13%,0.38%,1.20%,0.45%,1.01%,,,
Aug-19,-1.67%,5.48%,-1.74%,46.30%,5.70%,0.87%,1.12%,3.50%,1.69%,0.46%,,,
Sep-19,1.94%,3.49%,-0.87%,9.20%,-3.10%,0.40%,1.78%,2.72%,-1.62%,0.71%,,,
Oct-19,2.21%,-2.88%,25.00%,0.10%,0.00%,0.63%,1.67%,-0.04%,1.81%,0.19%,,,
Nov-19,3.62%,5.77%,-3.31%,3.70%,3.80%,0.32%,1.32%,0.23%,0.65%,2.08%,,,
Dec-19,2.91%,3.13%,10.55%,-3.20%,0.60%,1.61%,1.23%,1.46%,1.97%,6.17%,,,
Jan-20,-0.04%,2.05%,-13.74%,7.30%,-0.20%,0.38%,1.45%,2.14%,0.86%,0.04%,,,
Feb-20,-7.91%,0.10%,2.98%,-2.40%,1.40%,-0.41%,0.68%,1.40%,2.36%,-3.35%,,,
Mar-20,-12.49%,9.99%,24.83%,0.80%,-6.00%,0.99%,-2.13%,0.89%,5.64%,-3.73%,,,
Apr-20,12.70%,13.50%,-9.38%,-2.90%,7.10%,0.34%,3.22%,2.05%,5.07%,0.44%,,,
May-20,4.76%,-2.84%,-3.10%,-10.30%,5.20%,1.19%,0.22%,2.30%,1.31%,2.41%,,,
Jun-20,1.78%,2.88%,4.01%,-7.40%,3.70%,-0.10%,2.11%,-0.32%,2.36%,-3.83%,,,
Jul-20,5.89%,2.57%,1.61%,-3.40%,6.70%,-0.35%,2.27%,-0.88%,3.02%,-0.15%,,,
Aug-20,6.98%,1.27%,-1.80%,3.80%,5.20%,0.62%,1.46%,1.48%,6.17%,-0.67%,,,
Sep-20,-3.74%,13.20%,7.81%,-2.90%,2.60%,0.54%,0.77%,3.33%,-2.83%,2.61%,,,
Oct-20,-2.49%,1.87%,3.40%,6.30%,5.10%,0.78%,1.41%,0.53%,1.11%,2.46%,,,
Nov-20,10.87%,-0.99%,7.12%,-17.10%,0.90%,1.02%,2.63%,0.71%,3.34%,1.14%,,,
Dec-20,3.71%,4.55%,7.76%,-1.40%,8.10%,0.91%,2.09%,1.36%,5.04%,-1.47%,,,
Jan-21,-1.02%,-11.20%,2.50%,-4.40%,6.60%,1.37%,0.59%,-0.56%,1.52%,-0.42%,,,
Feb-21,2.78%,3.32%,-1.29%,50.00%,6.30%,0.60%,2.10%,1.39%,1.23%,4.55%,,,
Mar-21,4.54%,-4.08%,3.18%,-0.40%,5.50%,0.51%,1.23%,0.85%,4.26%,1.83%,,,
Apr-21,5.29%,4.34%,2.61%,-4.00%,3.00%,0.84%,0.81%,2.25%,0.70%,-0.85%,,,
May-21,0.66%,1.62%,2.55%,-0.50%,4.40%,1.32%,2.12%,1.43%,0.57%,1.13%,,,
Jun-21,2.24%,-0.81%,-1.00%,-4.80%,-1.00%,1.02%,1.23%,0.93%,-4.75%,0.27%,,,
Jul-21,2.44%,12.40%,-7.08%,8.80%,-3.50%,0.32%,0.98%,-1.38%,-3.32%,0.96%,,,
Aug-21,2.98%,0.74%,5.81%,2.80%,-3.60%,0.06%,2.50%,-0.16%,-0.37%,0.58%,,,
Sep-21,-4.66%,-0.65%,14.49%,10.20%,4.30%,0.60%,1.39%,-0.99%,0.37%,1.89%,,,
Oct-21,7.02%,23.50%,5.14%,-0.20%,3.00%,1.06%,1.23%,1.82%,-4.86%,0.90%,,,
Nov-21,-0.80%,16.80%,0.23%,-1.70%,0.20%,0.57%,0.56%,1.67%,-0.22%,-1.66%,,,
Dec-21,4.62%,3.43%,4.10%,-1.80%,-2.60%,0.55%,1.53%,0.23%,2.00%,2.59%,,,
Jan-22,-5.27%,3.57%,0.21%,18.20%,1.30%,0.80%,1.08%,1.33%,5.24%,-1.59%,,,
Feb-22,-2.95%,-9.40%,8.41%,3.40%,-0.30%,0.48%,0.64%,0.62%,3.84%,1.47%,,,
Mar-22,3.76%,3.86%,14.91%,6.10%,-2.90%,0.36%,1.82%,-0.92%,4.75%,-1.27%,,,
Apr-22,-8.78%,20.70%,-2.65%,3.80%,-0.80%,-0.08%,0.90%,1.11%,4.45%,0.32%,,,
May-22,0.23%,4.63%,1.94%,-1.40%,-1.30%,0.62%,0.89%,1.74%,2.51%,2.74%,,,
Jun-22,-8.25%,0.15%,-2.86%,1.80%,6.10%,0.06%,0.57%,0.57%,-0.44%,0.34%,,,
Jul-22,9.21%,-9.98%,4.30%,18.60%,-3.60%,0.70%,2.43%,1.52%,-0.23%,2.37%,,,
Aug-22,-4.08%,-12.50%,0.38%,-2.60%,1.70%,1.12%,1.58%,2.53%,4.10%,1.17%,,,
Sep-22,-9.24%,12.10%,-0.93%,3.20%,-8.50%,0.04%,0.43%,0.20%,4.23%,-0.91%,,,
Oct-22,8.13%,4.61%,8.50%,1.50%,-9.80%,0.78%,2.01%,0.81%,2.87%,2.62%,,,
Nov-22,5.56%,-2.06%,4.90%,-3.50%,8.30%,1.08%,1.69%,-0.85%,0.32%,0.54%,,,
Dec-22,-6.19%,15.90%,0.43%,13.50%,11.90%,1.76%,0.47%,2.30%,3.74%,0.34%,,,
Jan-23,6.29%,12.50%,4.09%,1.90%,9.80%,2.14%,1.46%,2.76%,0.78%,3.38%,,,
Feb-23,-2.51%,0.59%,4.21%,-0.40%,1.20%,0.10%,1.26%,-0.62%,1.47%,2.16%,,,
Mar-23,3.31%,-0.71%,-0.82%,3.60%,4.30%,1.28%,1.10%,-0.86%,-6.43%,2.36%,,,
Apr-23,1.60%,0.12%,-0.99%,0.70%,0.20%,0.20%,0.90%,0.13%,-0.66%,3.28%,,,
May-23,0.46%,-7.56%,-3.20%,4.80%,-2.00%,0.24%,1.16%,0.46%,-0.29%,1.88%,,,
Jun-23,6.09%,-7.43%,0.40%,-12.40%,1.90%,0.70%,1.32%,-0.93%,-0.04%,4.46%,,,
Jul-23,3.27%,12.70%,2.90%,-4.30%,7.80%,1.24%,1.20%,1.61%,1.96%,3.71%,,,
Aug-23,-1.63%,-5.40%,-1.28%,-2.90%,0.10%,0.20%,2.16%,0.85%,1.36%,1.33%,,,
Sep-23,-5.08%,2.53%,-0.09%,-0.50%,0.10%,0.40%,0.70%,1.45%,2.65%,1.91%,,,
Oct-23,-2.17%,1.17%,-4.50%,-2.70%,0.10%,0.32%,1.71%,0.33%,3.94%,2.66%,,,
Nov-23,9.13%,0.49%,3.70%,10.40%,-0.10%,0.90%,2.64%,1.30%,-0.32%,3.46%,,,
Dec-23,4.14%,-6.41%,3.84%,1.90%,0.70%,0.94%,1.74%,2.60%,1.33%,-1.15%,,,
Jan-24,1.59%,-1.03%,1.10%,3.40%,-0.40%,1.90%,2.41%,1.59%,1.50%,2.81%,,,
Feb-24,5.22%,3.52%,1.70%,4.10%,2.70%,0.82%,1.05%,1.28%,-1.28%,6.39%,,,
Mar-24,2.95%,2.47%,2.21%,2.60%,3.40%,0.42%,1.12%,0.79%,2.77%,3.79%,,,
Apr-24,-4.03%,-2.04%,3.40%,0.70%,5.60%,0.78%,1.26%,0.83%,2.74%,2.81%,,,
May-24,2.91%,-11.30%,-0.23%,-2.70%,-0.50%,0.66%,1.76%,2.19%,0.07%,3.73%,,,
Jun-24,5.35%,-0.07%,0.54%,5.90%,2.30%,0.96%,1.96%,0.42%,-0.50%,2.42%,,,
Jul-24,1.21%,7.21%,1.50%,6.70%,-0.60%,1.14%,1.65%,1.91%,2.21%,1.48%,,,
